danceability,speechiness,acousticness
0.716,0.0931,0.0344
0.602,0.0375,0.000113
0.625,0.0393,0.0718
0.66,0.0596,0.212
0.574,0.0483,0.0659
0.644,0.0761,0.00423
0.747,0.088,0.582
0.668,0.0999,0.0103
0.504,0.0946,0.00488
0.891,0.0645,0.00111
0.747,0.0324,0.176
0.458,0.123,0.0144
0.747,0.0912,0.0967
0.481,0.0387,0.171
0.643,0.1,0.188
0.891,0.123,0.0213
0.683,0.0347,0.668
0.741,0.0395,0.00166
0.874,0.0315,0.00116
0.589,0.0848,0.265
0.65,0.0764,0.0257
0.745,0.141,0.0479
0.676,0.0363,0.000905
0.536,0.0491,0.0476
0.587,0.0457,0.0311
0.736,0.048,0.164
0.799,0.0713,0.00298
0.816,0.14,0.276
0.618,0.0399,0.0356
0.733,0.0498,0.112
0.683,0.106,0.00372
0.708,0.0306,0.0054
0.769,0.0552,0.0488
0.664,0.0486,0.0162
0.503,0.136,0.128
0.925,0.176,0.0659
0.656,0.0404,0.0167
0.904,0.042,0.117
0.697,0.0576,0.252
0.701,0.0358,0.182
0.647,0.0466,0.0833
0.789,0.0363,0.444
0.849,0.0326,0.319
0.882,0.0589,0.0732
0.663,0.0771,0.0204
0.71,0.063,0.047
0.73,0.177,0.201
0.636,0.0412,0.0378
0.744,0.048,0.0195
0.767,0.0606,0.14
0.665,0.0379,0.0124
0.607,0.0804,0.107
0.761,0.0575,0.000483
0.336,0.0703,0.0516
0.638,0.0413,0.0239
0.628,0.0367,0.0156
0.718,0.0374,0.0173
0.798,0.0551,0.0682
0.773,0.0386,0.0627
0.572,0.0504,0.00373
0.791,0.0461,0.00877
0.933,0.133,0.00893
0.812,0.163,0.0564
0.814,0.0425,0.000222
0.628,0.0428,8.43e-05
0.683,0.0512,0.0988
0.721,0.0397,0.0461
0.714,0.0426,0.0338
0.624,0.041,0.0729
0.742,0.0385,0.033
0.692,0.0559,0.0194
0.641,0.0288,0.00441
0.687,0.0474,0.149
0.645,0.031,0.00373
0.735,0.0766,0.00851
0.626,0.0615,0.00834
0.509,0.0414,0.0159
0.692,0.0582,0.0512
0.488,0.0438,0.0148
0.429,0.038,0.000823
0.632,0.0357,0.0426
0.41,0.041,0.243
0.79,0.0583,0.0943
0.706,0.0633,0.0584
0.445,0.04,0.695
0.501,0.0319,0.751
0.82,0.0348,0.543
0.548,0.0323,0.186
